PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-11690372-n,i98675,n,omw-en31-11685823-n,flower,квітка,квітка,Квітка,flower,"рослина, культивована для його цвітіння або цвітіння",a plant cultivated for its blooms or blossoms,"angiosperm, flowering plant","bloomer; peony, paeony; lesser celandine, pilewort, Ranunculus ficaria; pheasant's-eye, Adonis annua; anemone, windflower; rue anemone, Anemonella thalictroides; columbine, aquilegia, aquilege; rocket larkspur, Consolida ambigua, Delphinium ajacis; delphinium; nigella; spathiphyllum, peace lily, spathe flower; calla lily, calla, arum lily, Zantedeschia aethiopica; sandwort; pink, garden pink; baby's breath, babies'-breath, Gypsophila paniculata; lychnis, catchfly; sandwort, Moehringia lateriflora; sandwort, Moehringia mucosa; soapwort, hedge pink, bouncing Bet, bouncing Bess, Saponaria officinalis; silene, campion, catchfly; cowherb, cow cockle, Vaccaria hispanica, Vaccaria pyramidata, Saponaria vaccaria; fig marigold, pebble plant; globe amaranth, bachelor's button, Gomphrena globosa; scarlet musk flower, Nyctaginia capitata; umbrellawort; four o'clock; portulaca; Carolina spring beauty, Claytonia caroliniana; spring beauty, Clatonia lanceolata; Virginia spring beauty, Claytonia virginica; wallflower, Cheiranthus cheiri, Erysimum cheiri; prairie rocket; wallflower; prairie rocket; western wall flower, Erysimum asperum, Cheiranthus asperus, Erysimum arkansanum; heliophila; damask violet, Dame's violet, sweet rocket, Hesperis matronalis; candytuft; sweet alyssum, sweet alison, Lobularia maritima; Malcolm stock, stock; Virginian stock, Virginia stock, Malcolmia maritima; stock, gillyflower; schizopetalon, Schizopetalon walkeri; poppy; corydalis; horn poppy, horned poppy, yellow horned poppy, sea poppy, Glaucium flavum; composite, composite plant; ageratum; sweet sultan, Amberboa moschata, Centaurea moschata; ammobium; African daisy; blue-eyed African daisy, Arctotis stoechadifolia, Arctotis venusta; aster; daisy; Swan River daisy, Brachycome Iberidifolia; calendula; China aster, Callistephus chinensis; catananche; cornflower, bachelor's button, bluebottle, Centaurea cyanus; sweet sultan, Centaurea imperialis; chrysanthemum; mistflower, mist-flower, ageratum, Conoclinium coelestinum, Eupatorium coelestinum; cosmos, cosmea; brass buttons, Cotula coronopifolia; billy buttons; dahlia, Dahlia pinnata; cape marigold, sun marigold, star of the veldt; coneflower; blue daisy, blue marguerite, Felicia amelloides; kingfisher daisy, Felicia bergeriana; cotton rose, cudweed, filago; gazania; African daisy; sunflower, helianthus; tidytips, tidy tips, Layia platyglossa; oxeye daisy, ox-eyed daisy, marguerite, moon daisy, white daisy, Leucanthemum vulgare, Chrysanthemum leucanthemum; Texas star, Lindheimera texana; African daisy, yellow ageratum, Lonas inodora, Lonas annua; cineraria, Pericallis cruenta, Senecio cruentus; florest's cineraria, Pericallis hybrida; coneflower; white-topped aster; stokes' aster, cornflower aster, Stokesia laevis; marigold; painted daisy, pyrethrum, Tanacetum coccineum, Chrysanthemum coccineum; Mexican sunflower, tithonia; Easter daisy, stemless daisy, Townsendia Exscapa; ursinia; xeranthemum; zinnia, old maid, old maid flower; blazing star, Mentzelia livicaulis, Mentzelia laevicaulis; bartonia, Mentzelia lindleyi; orchid, orchidaceous plant; cyclamen, Cyclamen purpurascens; sowbread, Cyclamen hederifolium, Cyclamen neopolitanum; shortia; centaury; gentian; begonia; wandflower, Sparaxis tricolor; coral drops, Bessera elegans; Christmas bells; bellwort, merry bells, wild oats; tuberose, Polianthes tuberosa; commelina; scabious, scabiosa; woodland star, Lithophragma affine, Lithophragma affinis, Tellima affinis; achimenes, hot water plant; lace-flower vine, Alsobia dianthiflora, Episcia dianthiflora; African violet, Saintpaulia ionantha; streptocarpus; scorpionweed, scorpion weed, phacelia; snapdragon; calceolaria, slipperwort; gerardia; toadflax, butter-and-eggs, wild snapdragon, devil's flax, Linaria vulgaris; veronica, speedwell; bush violet, browallia; petunia; butterfly flower, poor man's orchid, schizanthus; verbena, vervain; valerian; red valerian, French honeysuckle, Centranthus ruber"
omw-en31-11935683-n,i99843,n,omw-en31-11685823-n,composite,композит,складноцвіті,"композит, композиційна рослина, композитна рослина","composite, composite plant","вважається найбільш високорозвиненими дводольними рослинами, що характеризуються суцвіттями, розташованими в щільні головки, що нагадують поодинокі квіти","considered the most highly evolved dicotyledonous plants, characterized by florets arranged in dense heads that resemble single flowers",flower,"compass plant, compass flower; everlasting, everlasting flower; mayweed, dog fennel, stinking mayweed, stinking chamomile, Anthemis cotula; yellow chamomile, golden marguerite, dyers' chamomile, Anthemis tinctoria; corn chamomile, field chamomile, corn mayweed, Anthemis arvensis; oxeye daisy, Leucanthemum maximum, Chrysanthemum maximum; shasta daisy, Leucanthemum superbum, Chrysanthemum maximum maximum; Pyrenees daisy, Leucanthemum lacustre, Chrysanthemum lacustre; dusty miller, silver-lace, silver lace, Tanacetum ptarmiciflorum, Chrysanthemum ptarmiciflorum; tansy, golden buttons, scented fern, Tanacetum vulgare; crownbeard, crown-beard, crown beard"
omw-en31-11936368-n,i99845,n,omw-en31-11685823-n,everlasting,вічний,вічна,Вічна квітка,"everlasting, everlasting flower","будь-яка з різних рослин різних родів сімейства Compositae має квіти, які можна сушити без втрати форми або кольору",any of various plants of various genera of the family Compositae having flowers that can be dried without loss of form or color,"composite, composite plant","pink-and-white everlasting, pink paper daisy, Acroclinium roseum; pearly everlasting, cottonweed, Anaphalis margaritacea; cudweed; strawflower, golden everlasting, yellow paper daisy, Helichrysum bracteatum; strawflower; cascade everlasting, Ozothamnus secundiflorus, Helichrysum secundiflorum; Swan River everlasting, rhodanthe, Rhodanthe manglesii, Helipterum manglesii; immortelle, Xeranthemum annuum"
omw-en31-08206589-n,i80188,n,omw-en31-08024893-n,unit,одиниця,одиниця,"одиниця, Соціальна одиниця","unit, social unit","організація, що розглядається як частина більшої соціальної групи",an organization regarded as part of a larger social group,"organization, organisation","klavern; administrative unit, administrative body; company; family, household, house, home, menage; general delivery, poste restante; instrumentality; intensive care unit, ICU; member; military unit, military force, military group, force; task force; team, squad; den; gang, crew, work party; combination; crew; troop, scout troop, scout group; outfit; fifth column, Trojan horse; political unit, political entity; side; working group, working party"
omw-en31-08094128-n,i79668,n,omw-en31-08024893-n,administrative unit,адміністративна одиниця,адміністративна одиниця,"адміністративна одиниця, адміністративний орган","administrative unit, administrative body",одиниця з адміністративними обов'язками,a unit with administrative responsibilities,"unit, social unit","Inland Revenue, IR; Ordnance Survey; division; United Nations agency, UN agency; council; secretariat, secretariate; committee, commission; agency, federal agency, government agency, bureau, office, authority; intelligence, intelligence service, intelligence agency; international law enforcement agency; redevelopment authority; regulatory agency, regulatory authority; weather bureau; placement office, placement center; child welfare agency, child welfare service; Russian agency"
omw-en31-08354251-n,i80946,n,omw-en31-08024893-n,agency,агентство,агентство,"офіс, орган","agency, federal agency, government agency, bureau, office, authority",адміністративна одиниця влади,an administrative unit of government,"administrative unit, administrative body","Air Force Research Laboratory, AFRL; Army High Performance Computing Research Center, AHPCRC; Naval Research Laboratory, NRL; United States Army Criminal Investigation Laboratory, U.S. Army Criminal Investigation Laboratory, US Army Criminal Investigation Laboratory, USACIL; executive agency; Food and Drug Administration, FDA; Center for Disease Control and Prevention, CDC; Counterterrorist Center, CTC; Nonproliferation Center, NPC; Bureau of the Census, Census Bureau; National Oceanic and Atmospheric Administration, NOAA; National Climatic Data Center, NCDC; National Weather Service; Technology Administration; National Institute of Standards and Technology, NIST; National Technical Information Service, NTIS; Defense Advanced Research Projects Agency, DARPA; Department of Defense Laboratory System, LABLINK; Department of Energy Intelligence, DOEI; United States Public Health Service, PHS; National Institutes of Health, NIH; Bureau of Justice Assistance, BJA; Bureau of Justice Statistics, BJS; Immigration and Naturalization Service, INS; United States Border Patrol, US Border Patrol; Bureau of Diplomatic Security, DS; Foreign Service; Bureau of Intelligence and Research, INR; United States Fish and Wildlife Service, US Fish and Wildlife Service, FWS; National Park Service; Financial Management Service; Office of Intelligence Support, OIS; Comptroller of the Currency; Bureau of Customs, Customs Bureau, Customs Service, USCB; Bureau of Engraving and Printing; Internal Revenue Service, IRS; Federal Aviation Administration, FAA; Transportation Security Administration, TSA; Government Accounting Office, GAO, United States Government Accounting Office; United States Navy, US Navy, USN, Navy; United States Coast Guard, U. S. Coast Guard, US Coast Guard; Naval Air Warfare Center Weapons Division, NAWCWPNS; Naval Special Warfare, NSW; Naval Surface Warfare Center, NSWC; Naval Underwater Warfare Center, NUWC; Office of Naval Intelligence, ONI; Marine Corps Intelligence Activity, MCIA; United States Air Force, U. S. Air Force, US Air Force, Air Force, USAF; Air Force Intelligence Surveillance and Reconnaissance, Air Force ISR, AFISR; independent agency; Advanced Research and Development Activity, ARDA; Defense Logistics Agency; Defense Reutilization and Marketing Service, DRMS; Defense Technical Information Center, DTIC; law enforcement agency; Occupational Safety and Health Administration, OSHA; organ; Patent and Trademark Office Database, Patent Office; United States Government Printing Office, US Government Printing Office, Government Printing Office, GPO; National Guard Bureau, NGB; United States Army, US Army, U. S. Army, Army, USA; Army Intelligence, AI; Ballistic Missile Defense Organization, BMDO; Defense Information Systems Agency, DISA; National Geospatial-Intelligence Agency, NGA; Casualty Care Research Center, CCRC; Federal Housing Administration, FHA; local authority"
omw-en31-08355774-n,i80947,n,omw-en31-08024893-n,independent agency,незалежне агентство,незалежне агентство,Незалежне агентство,independent agency,"агентство уряду Сполучених Штатів, яке створене актом Конгресу і не залежить від виконавчих відомств",an agency of the United States government that is created by an act of Congress and is independent of the executive departments,"agency, federal agency, government agency, bureau, office, authority","Nuclear Regulatory Commission, NRC; Environmental Protection Agency, EPA, E.P.A.; Federal Emergency Management Agency, FEMA; Central Intelligence Agency, CIA; Interstate Commerce Commission, ICC; National Aeronautics and Space Administration, NASA; National Archives and Records Administration, NARA; National Labor Relations Board, NLRB; National Science Foundation, NSF; Postal Rate Commission; United States Postal Service, US Postal Service, USPS; United States Postal Inspection Service, US Postal Inspection Service; Federal Communications Commission, FCC; Social Security Administration, SSA; United States Post Office, US Post Office, Post Office, PO; Federal Trade Commission, FTC; Office of Inspector General, OIG; General Services Administration, GSA; Federal Protective Service, FPS; Small Business Administration, SBA; Selective Service, Selective Service System, SSS; Securities and Exchange Commission, SEC"
omw-en31-13886392-n,i109781,n,omw-en31-00028005-n,line,лінія,лінія,лінія,line,довжина (пряма або вигнута) без ширини або товщини,a length (straight or curved) without breadth or thickness; the trace of a moving point,"shape, form","curve; curve, curved shape; straight line; geodesic, geodesic line; perimeter; centerline, center line; boundary, edge, bound"
omw-en31-13890262-n,i109800,n,omw-en31-00028005-n,curve,крива,крива,"крива, вигнута форма, крива форма","curve, curved shape","слід точки, напрямок руху якої змінюється",the trace of a point whose direction of motion changes,line,"normal curve, bell-shaped curve, Gaussian curve, Gaussian shape; meander; closed curve; S-shape; catenary; Cupid's bow; wave, undulation; extrados; gooseneck; intrados; bend, crook, twist, turn; hook, crotchet; envelope; arc; scallop, crenation, crenature, crenel, crenelle; spiral; helix, spiral; perversion; sinuosity, sinuousness; arch; bell, bell shape, campana; bow, arc; crescent; quadric, quadric surface; lemniscate; roulette, line roulette"
omw-en31-13931594-n,i110032,n,omw-en31-00028005-n,roulette,колесо рулетки,рулетка,"рулетка, лінійна рулетка","roulette, line roulette","лінія, згенерована точкою на одній фігурі, що котиться навколо другої фігури",a line generated by a point on one figure rolling around a second figure,"curve, curved shape",cycloid; epicycloid; hypocycloid
omw-en31-02143958-n,i46714,n,omw-en31-02141851-n,carnivorous bat,хижий кажан,хижий кажан,"хижий кажан, мікробат, м'ясоїдна кажана, мікроліт, микроліт","carnivorous bat, microbat",зазвичай мають великі вуха і харчуються переважно комахами,typically having large ears and feeding primarily on insects; worldwide in distribution,"bat, chiropteran","mouse-eared bat; leafnose bat, leaf-nosed bat; vespertilian bat, vespertilionid; brown bat; freetail, free-tailed bat, freetailed bat; mastiff bat; vampire bat, true vampire bat"
omw-en31-02148076-n,i46737,n,omw-en31-02141851-n,vespertilian bat,вечірниця,вечірниця,"веспертилійський кажан, веспертиліонід, веспертіянська кажан, везпертиліонід, веспертильська кажан, везпертильоніодин","vespertilian bat, vespertilionid",різновид хижих кажанів,a variety of carnivorous bat,"carnivorous bat, microbat","frosted bat, Vespertilio murinus; red bat, Lasiurus borealis; little brown bat, little brown myotis, Myotis leucifugus; cave myotis, Myotis velifer; big brown bat, Eptesicus fuscus; serotine, European brown bat, Eptesicus serotinus; pallid bat, cave bat, Antrozous pallidus; pipistrelle, pipistrel, Pipistrellus pipistrellus; eastern pipistrel, Pipistrellus subflavus; western pipistrel, SPipistrellus hesperus; jackass bat, spotted bat, Euderma maculata; long-eared bat"
omw-en31-05600772-n,i66305,n,omw-en31-05283150-n,arm bone,кістка руки,плечова кістка,"кість руки, кістка руки",arm bone,кістка в руці,a bone in the arm,"long bone, os longum","humerus; radius; ulna, elbow bone"
omw-en31-03340545-n,i53682,n,omw-en31-03782816-n,figure,цифра,Фігура,фігура,figure,модель тілесної форми (особливо людини),a model of a bodily form (especially of a person),"model, simulation","dummy; figurehead; figurine, statuette; puppet, marionette; snowman; Trojan Horse, Wooden Horse"
omw-en31-03260351-n,i53249,n,omw-en31-03782816-n,dummy,манекен.,манекен,манекен,dummy,"фігура, що представляє людську форму",a figure representing the human form,figure,"lay figure; mannequin, manikin, mannikin, manakin, form; ventriloquist's dummy"
omw-en31-07640075-n,i76914,n,omw-en31-07572999-n,turnover,оборот,крученик,"обіг, оборот",turnover,"блюдо, виготовлене шляхом складання шматка тіста над начинкою",a dish made by folding a piece of pastry over a filling,dish,"apple turnover; knish; pirogi, piroshki, pirozhki; samosa"
omw-en31-10648006-n,i93170,n,omw-en31-10184340-n,sovereign,суверенний,Суверен,"суверен, монарх, коронована голова","sovereign, crowned head, monarch","правитель нації або глава держави, як правило, за спадковим правом",a nation's ruler or head of state usually by hereditary right,"ruler, swayer; head of state, chief of state","Capetian; Carolingian, Carlovingian; czar, tsar, tzar; emperor; king, male monarch, Rex; Merovingian; Shah, Shah of Iran"
omw-en31-03065053-n,i52107,n,omw-en31-03502782-n,cocked hat,крислатий капелюх,крислатий капелюх,"колоухий капелюх, півня капелюх",cocked hat,"капелюх з протилежними краями з'явився і зловив разом, щоб сформувати точки",hat with opposing brims turned up and caught together to form points,"hat, chapeau, lid","bicorn, bicorne; tricorn, tricorne"
omw-en31-08697710-n,i82556,n,omw-en31-08633886-n,direction,напрямок,напрямок,"напрямок, шлях, напрям","direction, way","лінія, що веде до місця або точки",a line leading to a place or point,"path, route, itinerary","bearing, heading, aim; course, trend; east-west direction; north-south direction; qibla; tendency, trend"
omw-en31-08698626-n,i82560,n,omw-en31-08633886-n,bearing,підшипник,пеленг,"ціль, заголовок, мета, підшипник","bearing, heading, aim","напрямок або шлях, по якому рухається щось або по якому воно лежить",the direction or path along which something moves or along which it lies,"direction, way",tack
omw-en31-01634688-n,i43888,n,omw-en31-01630065-n,ambystomid,амбістомід,амбістомід,"амбістомід, амбістоміда, амбістомідна саламандра, саламандра амбістомід, амбістомідний саламандра","ambystomid, ambystomid salamander",наземна або напівводна саламандра малого та середнього розміру,small to moderate-sized terrestrial or semiaquatic New World salamander,salamander,"mole salamander, Ambystoma talpoideum; spotted salamander, Ambystoma maculatum; tiger salamander, Ambystoma tigrinum; axolotl, mud puppy, Ambystoma mexicanum; waterdog"
omw-en31-06277798-n,i69441,n,omw-en31-06274022-n,newspaper,газета,Газета,"папір, газета","newspaper, paper",щоденна або щотижнева публікація на складених аркушах,a daily or weekly publication on folded sheets; contains news and articles and advertisements,"press, public press","daily; gazette; school newspaper, school paper; tabloid, rag, sheet"
omw-en31-02106058-n,i46480,n,omw-en31-02085998-n,working dog,службовий собака,робочий собака,"робочий собака, робоча собака",working dog,"будь-яка з декількох порід зазвичай великих потужних собак, виведених для роботи в якості тягових тварин і сторожових і поводирських собак",any of several breeds of usually large powerful dogs bred to work as draft animals and guard and guide dogs,"dog, domestic dog, Canis familiaris","watchdog, guard dog; shepherd dog, sheepdog, sheep dog; police dog; Sennenhunde; boxer; mastiff; bull mastiff; bulldog, English bulldog; Great Dane; guide dog; hearing dog; Saint Bernard, St Bernard; seizure-alert dog; sled dog, sledge dog; Eskimo dog, husky"
omw-en31-02109618-n,i46501,n,omw-en31-02085998-n,pinscher,пінчер,пінчер,пінчер,pinscher,"будь-яка з трьох порід собак, вуха і хвіст яких зазвичай обрізані",any of three breeds of dogs whose ears and tail are usually cropped,"watchdog, guard dog","Doberman, Doberman pinscher; miniature pinscher; affenpinscher, monkey pinscher, monkey dog"
omw-en31-00464307-n,i37854,n,omw-en31-00524569-n,athletic game,спортивна гра,спортивна гра,Спортивна гра,athletic game,"гра, що включає спортивну діяльність",a game involving athletic activity,"sport, athletics; game","ice hockey, hockey, hockey game; tetherball; water polo; outdoor game; court game"
omw-en31-00465719-n,i37859,n,omw-en31-00524569-n,outdoor game,гра на свіжому повітрі,рухлива гра,"гра на свіжому повітрі, Гра на відкритому повітрі",outdoor game,"спортивна гра, яка грається на відкритому повітрі",an athletic game that is played outdoors,athletic game,"day game; night game; golf, golf game; croquet; paintball; quoits, horseshoes; shuffleboard, shovelboard; field game"
omw-en31-00468787-n,i37870,n,omw-en31-00524569-n,field game,польова гра,польова гра,"польова гра, гра на полі",field game,"гра на свіжому повітрі, у яку грають на полі заданих розмірів",an outdoor game played on a field of specified dimensions,outdoor game,"field hockey, hockey; football, football game; hurling; ball game, ballgame; cricket; lacrosse; polo; pushball; ultimate frisbee"
omw-en31-01958574-n,i45620,n,omw-en31-01943377-n,bivalve,двостулковий молюск,двостулкові,"пелеципод, пластинчаста галузь, ламеллібранч","bivalve, pelecypod, lamellibranch","морські або прісноводні молюски, що мають м'яке тіло з пластиноподібними зябрами, укладеними в дві раковини, шарнірно з'єднані разом",marine or freshwater mollusks having a soft body with platelike gills enclosed within two shells hinged together,"mollusk, mollusc, shellfish","clam; cockle; oyster; ark shell; blood clam; mussel; scallop, scollop, escallop; piddock"
omw-en31-01959122-n,i45622,n,omw-en31-01943377-n,clam,молюск,молюск,молюск,clam,"норний морський молюск, що живе на піску або бруді",burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness,"bivalve, pelecypod, lamellibranch","soft-shell clam, steamer, steamer clam, long-neck clam, Mya arenaria; quahog, quahaug, hard-shell clam, hard clam, round clam, Venus mercenaria, Mercenaria mercenaria; geoduck; razor clam, jackknife clam, knife-handle; giant clam, Tridacna gigas; shipworm, teredinid"
omw-en31-04085859-n,i58102,n,omw-en31-09351810-n,reservoir,водосховище,водосховище,"водойма, водосховище","reservoir, artificial lake, man-made lake",озеро використовується для зберігання води для громадського використання,lake used to store water for community use,lake,Lake Mead; Lake Powell; Lake Volta
omw-en31-00878805-n,i40004,n,omw-en31-00878552-n,look,Поглянь.,дивитися,погляд,"look, looking, looking at",акт спрямування очей на щось і сприйняття його візуально,the act of directing the eyes toward something and perceiving it visually,"sensing, perception","glance, glimpse, coup d'oeil; scrutiny; peek, peep; squint; stare; evil eye; sightseeing, rubber-necking; observation, observance, watching; lookout, outlook; view, survey, sight; dekko"
omw-en31-13327892-n,i106612,n,omw-en31-13296870-n,charge,плата,вартість,плата,charge,"ціна, що стягується за якусь статтю або послугу",the price charged for some article or service,cost,"carrying charge; depreciation charge; undercharge; overcharge; fare, transportation; fixed charge, fixed cost, fixed costs; agio, agiotage, premium, exchange premium; demurrage; installation charge; porterage; postage; poundage; rate, charge per unit; water-rate; surcharge; service charge, service fee; stowage; tankage"
omw-en31-13346032-n,i106728,n,omw-en31-13296870-n,rate,швидкість,ставка,"ставка, плата за одиницю, збір за одиницю","rate, charge per unit",сума збору або платежу відносно певної бази,amount of a charge or payment relative to some basis,charge,"pay rate, rate of pay; payment rate, rate of payment, repayment rate, installment rate; tax rate; interest rate, rate of interest; freight, freightage, freight rate; rate of depreciation, depreciation rate; rate of exchange, exchange rate; excursion rate; footage; linage, lineage; room rate"
omw-en31-13340275-n,i106690,n,omw-en31-13296870-n,discount rate,ставка дисконтування,облікова ставка,"знижка, банківська знижка, дисконтна ставка, облікова ставка","discount rate, discount, bank discount","відсотки на щорічній основі, що вираховуються заздалегідь за кредитом",interest on an annual basis deducted in advance on a loan,"interest rate, rate of interest",bank rate
omw-en31-15208637-n,i117004,n,omw-en31-15208263-n,religious holiday,релігійне свято,релігійне свято,"релігійне свято, Святий день","religious holiday, holy day","день, визначений для релігійних обрядів",a day specified for religious observance,holiday,"fast day; Christian holy day; Jewish holy day; Dormition, Feast of Dormition"
